Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Mexico,Liga MX,2012/2013,21/07/2012,01:30,Chiapas,Tigres UANL,0,4,A
Mexico,Liga MX,2012/2013,21/07/2012,03:30,Club Tijuana,Puebla,2,0,H
Mexico,Liga MX,2012/2013,21/07/2012,23:00,Cruz Azul,Monarcas,0,0,D
Mexico,Liga MX,2012/2013,21/07/2012,23:00,Queretaro,Club Leon,0,2,A
Mexico,Liga MX,2012/2013,22/07/2012,01:00,Monterrey,Club America,0,0,D
Mexico,Liga MX,2012/2013,22/07/2012,01:00,Santos Laguna,Atl. San Luis,2,1,H
Mexico,Liga MX,2012/2013,22/07/2012,03:00,Atlas,UNAM Pumas,1,1,D
Mexico,Liga MX,2012/2013,22/07/2012,18:00,Toluca,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2012/2013,23/07/2012,00:00,Atlante,Pachuca,0,0,D
Mexico,Liga MX,2012/2013,28/07/2012,01:30,Monarcas,Monterrey,1,0,H
Mexico,Liga MX,2012/2013,28/07/2012,03:30,Club Leon,Club Tijuana,4,0,H
Mexico,Liga MX,2012/2013,28/07/2012,23:00,Club America,Chiapas,4,2,H
Mexico,Liga MX,2012/2013,29/07/2012,01:00,Pachuca,Atlas,0,3,A
Mexico,Liga MX,2012/2013,29/07/2012,01:00,Tigres UANL,Atlante,2,1,H
Mexico,Liga MX,2012/2013,29/07/2012,03:00,Atl. San Luis,Cruz Azul,1,2,A
Mexico,Liga MX,2012/2013,29/07/2012,18:00,Puebla,Toluca,1,3,A
Mexico,Liga MX,2012/2013,29/07/2012,18:00,UNAM Pumas,Queretaro,3,0,H
Mexico,Liga MX,2012/2013,29/07/2012,23:00,Guadalajara Chivas,Santos Laguna,0,1,A
Mexico,Liga MX,2012/2013,04/08/2012,01:00,Santos Laguna,Puebla,2,2,D
Mexico,Liga MX,2012/2013,04/08/2012,01:30,Club Tijuana,UNAM Pumas,1,0,H
Mexico,Liga MX,2012/2013,04/08/2012,03:30,Monarcas,Atl. San Luis,3,3,D
Mexico,Liga MX,2012/2013,04/08/2012,23:00,Cruz Azul,Guadalajara Chivas,0,0,D
Mexico,Liga MX,2012/2013,04/08/2012,23:00,Queretaro,Pachuca,0,1,A
Mexico,Liga MX,2012/2013,05/08/2012,01:00,Monterrey,Chiapas,2,1,H
Mexico,Liga MX,2012/2013,05/08/2012,03:00,Atlas,Tigres UANL,0,0,D
Mexico,Liga MX,2012/2013,05/08/2012,18:00,Toluca,Club Leon,2,1,H
Mexico,Liga MX,2012/2013,06/08/2012,00:00,Atlante,Club America,2,2,D
Mexico,Liga MX,2012/2013,11/08/2012,01:30,Chiapas,Atlante,1,2,A
Mexico,Liga MX,2012/2013,11/08/2012,02:30,Club Leon,Santos Laguna,3,0,H
Mexico,Liga MX,2012/2013,11/08/2012,23:00,Club America,Atlas,1,1,D
Mexico,Liga MX,2012/2013,12/08/2012,01:00,Pachuca,Club Tijuana,2,2,D
Mexico,Liga MX,2012/2013,12/08/2012,01:00,Tigres UANL,Queretaro,2,2,D
Mexico,Liga MX,2012/2013,12/08/2012,03:00,Atl. San Luis,Monterrey,1,1,D
Mexico,Liga MX,2012/2013,12/08/2012,18:00,Puebla,Cruz Azul,0,1,A
Mexico,Liga MX,2012/2013,12/08/2012,18:00,UNAM Pumas,Toluca,1,2,A
Mexico,Liga MX,2012/2013,13/08/2012,00:00,Guadalajara Chivas,Monarcas,1,1,D
Mexico,Liga MX,2012/2013,18/08/2012,01:30,Club Tijuana,Tigres UANL,2,1,H
Mexico,Liga MX,2012/2013,18/08/2012,03:30,Cruz Azul,Club Leon,1,1,D
Mexico,Liga MX,2012/2013,18/08/2012,03:30,Monarcas,Puebla,3,0,H
Mexico,Liga MX,2012/2013,18/08/2012,23:00,Queretaro,Club America,0,4,A
Mexico,Liga MX,2012/2013,19/08/2012,01:00,Monterrey,Atlante,1,1,D
Mexico,Liga MX,2012/2013,19/08/2012,01:00,Santos Laguna,UNAM Pumas,1,2,A
Mexico,Liga MX,2012/2013,19/08/2012,03:00,Atl. San Luis,Guadalajara Chivas,0,1,A
Mexico,Liga MX,2012/2013,19/08/2012,03:00,Atlas,Chiapas,1,1,D
Mexico,Liga MX,2012/2013,19/08/2012,18:00,Toluca,Pachuca,1,0,H
Mexico,Liga MX,2012/2013,25/08/2012,01:30,Chiapas,Queretaro,2,1,H
Mexico,Liga MX,2012/2013,25/08/2012,02:30,Club Leon,Monarcas,1,3,A
Mexico,Liga MX,2012/2013,25/08/2012,23:00,Club America,Club Tijuana,0,1,A
Mexico,Liga MX,2012/2013,26/08/2012,01:00,Pachuca,Santos Laguna,0,0,D
Mexico,Liga MX,2012/2013,26/08/2012,01:00,Tigres UANL,Toluca,1,1,D
Mexico,Liga MX,2012/2013,26/08/2012,18:00,Puebla,Atl. San Luis,1,0,H
Mexico,Liga MX,2012/2013,26/08/2012,18:00,UNAM Pumas,Cruz Azul,0,1,A
Mexico,Liga MX,2012/2013,26/08/2012,23:00,Guadalajara Chivas,Monterrey,1,2,A
Mexico,Liga MX,2012/2013,27/08/2012,00:00,Atlante,Atlas,1,0,H
Mexico,Liga MX,2012/2013,01/09/2012,01:30,Club Tijuana,Chiapas,2,0,H
Mexico,Liga MX,2012/2013,01/09/2012,03:30,Monarcas,UNAM Pumas,0,1,A
Mexico,Liga MX,2012/2013,01/09/2012,23:00,Cruz Azul,Pachuca,1,1,D
Mexico,Liga MX,2012/2013,01/09/2012,23:00,Queretaro,Atlante,0,1,A
Mexico,Liga MX,2012/2013,02/09/2012,01:00,Monterrey,Atlas,1,1,D
Mexico,Liga MX,2012/2013,02/09/2012,01:00,Santos Laguna,Tigres UANL,3,1,H
Mexico,Liga MX,2012/2013,02/09/2012,03:00,Atl. San Luis,Club Leon,0,2,A
Mexico,Liga MX,2012/2013,02/09/2012,18:00,Toluca,Club America,1,1,D
Mexico,Liga MX,2012/2013,02/09/2012,23:00,Guadalajara Chivas,Puebla,1,1,D
Mexico,Liga MX,2012/2013,15/09/2012,01:30,Chiapas,Toluca,2,0,H
Mexico,Liga MX,2012/2013,15/09/2012,01:30,Pachuca,Monarcas,3,2,H
Mexico,Liga MX,2012/2013,15/09/2012,03:30,Club Leon,Guadalajara Chivas,1,2,A
Mexico,Liga MX,2012/2013,15/09/2012,23:00,Club America,Santos Laguna,2,0,H
Mexico,Liga MX,2012/2013,16/09/2012,01:00,Tigres UANL,Cruz Azul,2,0,H
Mexico,Liga MX,2012/2013,16/09/2012,03:00,Atlas,Queretaro,0,0,D
Mexico,Liga MX,2012/2013,16/09/2012,18:00,Puebla,Monterrey,2,3,A
Mexico,Liga MX,2012/2013,16/09/2012,18:00,UNAM Pumas,Atl. San Luis,0,1,A
Mexico,Liga MX,2012/2013,17/09/2012,00:00,Atlante,Club Tijuana,1,2,A
Mexico,Liga MX,2012/2013,22/09/2012,01:30,Puebla,Club Leon,1,1,D
Mexico,Liga MX,2012/2013,22/09/2012,03:30,Monarcas,Tigres UANL,1,1,D
Mexico,Liga MX,2012/2013,22/09/2012,23:00,Cruz Azul,Club America,1,1,D
Mexico,Liga MX,2012/2013,23/09/2012,01:00,Atl. San Luis,Pachuca,1,0,H
Mexico,Liga MX,2012/2013,23/09/2012,01:00,Monterrey,Queretaro,3,2,H
Mexico,Liga MX,2012/2013,23/09/2012,01:00,Santos Laguna,Chiapas,0,0,D
Mexico,Liga MX,2012/2013,23/09/2012,03:30,Club Tijuana,Atlas,1,1,D
Mexico,Liga MX,2012/2013,23/09/2012,18:00,Toluca,Atlante,1,0,H
Mexico,Liga MX,2012/2013,23/09/2012,23:00,Guadalajara Chivas,UNAM Pumas,0,0,D
Mexico,Liga MX,2012/2013,29/09/2012,01:30,Chiapas,Cruz Azul,1,0,H
Mexico,Liga MX,2012/2013,29/09/2012,03:30,Club Leon,Monterrey,2,0,H
Mexico,Liga MX,2012/2013,29/09/2012,23:00,Club America,Monarcas,1,1,D
Mexico,Liga MX,2012/2013,29/09/2012,23:00,Queretaro,Club Tijuana,0,1,A
Mexico,Liga MX,2012/2013,30/09/2012,01:00,Pachuca,Guadalajara Chivas,1,0,H
Mexico,Liga MX,2012/2013,30/09/2012,01:00,Tigres UANL,Atl. San Luis,0,0,D
Mexico,Liga MX,2012/2013,30/09/2012,03:00,Atlas,Toluca,1,3,A
Mexico,Liga MX,2012/2013,30/09/2012,18:00,UNAM Pumas,Puebla,2,1,H
Mexico,Liga MX,2012/2013,01/10/2012,00:00,Atlante,Santos Laguna,1,3,A
Mexico,Liga MX,2012/2013,03/10/2012,01:00,Guadalajara Chivas,Tigres UANL,2,1,H
Mexico,Liga MX,2012/2013,03/10/2012,02:30,Atl. San Luis,Club America,1,2,A
Mexico,Liga MX,2012/2013,04/10/2012,01:00,Cruz Azul,Atlante,4,0,H
Mexico,Liga MX,2012/2013,04/10/2012,01:00,Puebla,Pachuca,2,0,H
Mexico,Liga MX,2012/2013,04/10/2012,01:00,Toluca,Queretaro,4,1,H
Mexico,Liga MX,2012/2013,04/10/2012,02:00,Santos Laguna,Atlas,2,1,H
Mexico,Liga MX,2012/2013,04/10/2012,02:30,Club Leon,UNAM Pumas,2,1,H
Mexico,Liga MX,2012/2013,04/10/2012,03:00,Monterrey,Club Tijuana,1,1,D
Mexico,Liga MX,2012/2013,05/10/2012,02:00,Monarcas,Chiapas,1,1,D
Mexico,Liga MX,2012/2013,06/10/2012,23:00,Club America,Guadalajara Chivas,1,3,A
Mexico,Liga MX,2012/2013,07/10/2012,01:00,Pachuca,Club Leon,1,1,D
Mexico,Liga MX,2012/2013,07/10/2012,01:00,Queretaro,Santos Laguna,1,1,D
Mexico,Liga MX,2012/2013,07/10/2012,01:00,Tigres UANL,Puebla,1,2,A
Mexico,Liga MX,2012/2013,07/10/2012,03:00,Atlas,Cruz Azul,1,1,D
Mexico,Liga MX,2012/2013,07/10/2012,18:00,UNAM Pumas,Monterrey,3,2,H
Mexico,Liga MX,2012/2013,07/10/2012,23:00,Chiapas,Atl. San Luis,4,0,H
Mexico,Liga MX,2012/2013,08/10/2012,00:00,Atlante,Monarcas,2,2,D
Mexico,Liga MX,2012/2013,08/10/2012,02:00,Club Tijuana,Toluca,1,0,H
Mexico,Liga MX,2012/2013,13/10/2012,23:00,Cruz Azul,Queretaro,3,2,H
Mexico,Liga MX,2012/2013,14/10/2012,01:00,Atl. San Luis,Atlante,2,2,D
Mexico,Liga MX,2012/2013,14/10/2012,01:00,Club Leon,Tigres UANL,2,0,H
Mexico,Liga MX,2012/2013,14/10/2012,01:00,Santos Laguna,Club Tijuana,2,2,D
Mexico,Liga MX,2012/2013,14/10/2012,18:00,UNAM Pumas,Pachuca,1,0,H
Mexico,Liga MX,2012/2013,14/10/2012,23:00,Guadalajara Chivas,Chiapas,1,1,D
Mexico,Liga MX,2012/2013,20/10/2012,01:30,Chiapas,Puebla,2,0,H
Mexico,Liga MX,2012/2013,20/10/2012,03:30,Club Tijuana,Cruz Azul,2,2,D
Mexico,Liga MX,2012/2013,20/10/2012,23:00,Club America,Club Leon,2,1,H
Mexico,Liga MX,2012/2013,20/10/2012,23:00,Queretaro,Monarcas,1,2,A
Mexico,Liga MX,2012/2013,21/10/2012,01:00,Pachuca,Monterrey,1,1,D
Mexico,Liga MX,2012/2013,21/10/2012,01:00,Tigres UANL,UNAM Pumas,5,0,H
Mexico,Liga MX,2012/2013,21/10/2012,03:00,Atlas,Atl. San Luis,2,3,A
